iter	Passed	Remaining
1541	9109	109037
1542	9114	109030
1543	9120	109019
1544	9125	109008
1545	9131	108998
1546	9137	108988
1547	9142	108981
1548	9148	108972
1549	9154	108968
1550	9160	108958
1551	9165	108947
1552	9171	108941
1553	9177	108931
1554	9183	108926
1555	9188	108918
1556	9194	108910
1557	9200	108901
1558	9205	108893
1559	9211	108882
1560	9217	108876
1561	9222	108867
1562	9228	108856
1563	9234	108852
1564	9240	108846
1565	9246	108841
1566	9251	108829
1567	9257	108820
1568	9262	108811
1569	9268	108802
1570	9274	108791
1571	9281	108807
1572	9289	108819
1573	9295	108813
1574	9300	108802
1575	9306	108799
1576	9312	108790
1577	9318	108782
1578	9323	108772
1579	9329	108762
1580	9335	108754
1581	9340	108747
1582	9346	108737
1583	9352	108728
1584	9357	108722
1585	9363	108715
1586	9369	108707
1587	9375	108699
1588	9380	108690
1589	9386	108679
1590	9391	108670
1591	9397	108665
1592	9403	108656
1593	9409	108648
1594	9415	108641
1595	9420	108634
1596	9427	108632
1597	9432	108624
1598	9438	108615
1599	9444	108607
1600	9449	108598
1601	9455	108589
1602	9461	108580
1603	9466	108572
1604	9472	108560
1605	9477	108554
1606	9485	108564
1607	9491	108565
1608	9497	108556
1609	9502	108544
1610	9508	108536
1611	9514	108526
1612	9519	108516
1613	9525	108509
1614	9531	108500
1615	9536	108494
1616	9542	108486
1617	9548	108476
1618	9553	108467
1619	9559	108463
1620	9565	108454
1621	9570	108442
1622	9576	108433
1623	9582	108430
1624	9588	108421
1625	9593	108409
1626	9599	108400
1627	9604	108390
1628	9610	108382
1629	9616	108372
1630	9621	108364
1631	9627	108360
1632	9633	108349
1633	9639	108345
1634	9644	108334
1635	9650	108324
1636	9656	108316
1637	9661	108308
1638	9667	108301
1639	9673	108292
1640	9680	108306
1641	9687	108309
1642	9693	108302
1643	9699	108295
1644	9705	108292
1645	9711	108284
1646	9716	108272
1647	9721	108262
1648	9727	108252
1649	9732	108241
1650	9739	108238
1651	9744	108229
1652	9750	108221
1653	9755	108210
1654	9761	108202
1655	9767	108193
1656	9772	108185
1657	9778	108178
1658	9784	108168
1659	9789	108159
1660	9795	108152
1661	9801	108141
1662	9806	108133
1663	9812	108126
1664	9818	108120
1665	9824	108115
1666	9830	108109
1667	9835	108100
1668	9841	108093
1669	9847	108084
1670	9852	108076
1671	9858	108070
1672	9864	108062
1673	9870	108052
